name,location,howToGo,specialty,reviews,category
"Jamuna Future Park","Kuril, Dhaka","Near Bashundhara Residential","Global Brands,Cinemas,Theme Park","South Asia's largest mall with everything under one roof [5, 27]","brands"
"Bashundhara City","Panthapath, Dhaka","Near Karwan Bazar","Electronics,Gadgets,Clothing","21-story mall, pioneer of modern shopping in BD ","brands"
"New Market","Azimpur, Dhaka","Near Dhaka University","Books,Saree,Household Goods","Historical market popular with middle-class and students [26, 27]","local"
"Police Plaza Concord","Gulshan 1, Dhaka","Beside Hatirjheel","Boutique Fashion,Imports","Luxurious mall with corporate offices and food courts [26, 29]","brands"
"Eastern Plaza","Elephant Road, Dhaka","Near Hatirpool","Mobile Phones,Servicing","Well known for electrical products and mobile repair [26, 29]","brands"
"Shimanto Square","Dhanmondi, Dhaka","Near BDR Gate","Food Courts,Gifts","Popular chill spot for family and friends with great food [26, 29]","brands"
"Pink City","Gulshan 2, Dhaka","Gulshan circle","Jewelry,Premium Saree","Easy to find edge-of-city mall for high-end fashion [29, 30]","brands"
"Rapa Plaza","Dhanmondi 27, Dhaka","Near Industrial Area","Ladies Fashion,Boutiques","Older established mall with diverse services [29, 30]","brands"
"Mascot Plaza","Uttara, Dhaka","Sector 7 circle","Gold Jewelry,Clothing","Popular place for locals in Uttara to shop for gold [27, 29]","brands"
"Nilkhet Book Market","Nilkhet, Dhaka","Next to New Market","Old Books,Rare Editions","Best place for any book at a low price [27]","local"
"Shankhari Bazar","Old Dhaka","Near Sadarghat","Traditional Crafts,Music Instruments","Narrow streets filled with historical cultural items [27]","local"
"Aarong","Dhanmondi, Dhaka","Mirpur Road","Handicrafts,Ethnic Wear","Premium deshi brand showcasing traditional art ","others"
"Metro Shopping Mall","Dhanmondi 32, Dhaka","Mirpur Road","Computer Accessories,Mobiles","Well known for 4th-floor electronics and second-hand phones [5]","brands"
"Dhaka New Super Market","Azimpur, Dhaka","Next to New Market","Affordable Clothing,Bags","Vibrant market where bargaining is expected [5]","local"
"Baitul Mukarram","Motijheel, Dhaka","National Mosque area","Watches,Attar,Religious items","Thousands of daily shoppers and bargain hunters [5, 28]","local"
"Gulistan Hawkers Market","Gulistan, Dhaka","Near Zero Point","Cheap Garments,Surplus stock","Great place for low-cost everyday clothing ","budget"
"Sundarban Square","Gulistan, Dhaka","Beside stadium","Electronics,Spares","Wholesale and retail for electrical parts ","budget"
"Mouchak Market","Malibagh, Dhaka","Mouchak Circle","Jewelry,Ladies Wear","Traditional hub for family shopping ","budget"
"Karnaphuli Garden City","Kakrail, Dhaka","Beside Shantinagar","Ladies Fashion,Office items","Aysha shopping complex nearby is also good ","brands"
"BCS Computer City","Agargaon, Dhaka","Near IDB Bhaban","Laptops,Printers,Software","The IT heart of Bangladesh for all tech needs ","budget"
"Mirpur Benarasi Polli","Mirpur 10, Dhaka","Near Benarasi Palli Gate","Benarasi Sharees,Silk","Heritage area for authentic wedding sarees [28, 30]","budget"
"DCC Market","Gulshan 1, Dhaka","Gulshan 1 circle","Imported Food,Cosmetics","Go-to place for foreign groceries and perfumes ","budget"
"North Tower","Uttara, Dhaka","Sector 7","International Brands,Footwear","Modern mall catering to the northern outskirts ","brands"
"Elephant Road Market","Elephant Road, Dhaka","Science Lab area","Shoes,Suits,Bedsheets","Famous for footwear and specialized tailoring ","budget"
"Bongo Bazar","Gulistan, Dhaka","Near High Court","Export Surplus,Jeans","Massive cluster for wholesale and bulk garments ","budget"
"Fortune City","Moghbazar, Dhaka","Moghbazar circle","General Shopping","Convenient local mall for everyday needs ","brands"
"Shoppers World","Gulshan 1, Dhaka","Gulshan avenue","Lifestyle,Imports","Elegant shopping environment ","brands"
"Rajlaxmi Complex","Uttara, Dhaka","Uttara sector 3","General Retail","Core shopping point for Uttara residents [28, 30]","brands"
"Multiplan Center","Elephant Road, Dhaka","Near Science Lab","Computer Hardware,Accessories","Multi-storied IT hub for wholesalers ","brands"
"Nurjahan Market","New Market, Dhaka","Opposite Dhaka College","Ready-made Garments,T-shirts","Best for students looking for cheap exports ","budget"
"A.R.A. Center","Dhanmondi, Dhaka","Near Mirpur Road","Boutique Fashion","Quiet mall for specific brands ","brands"
"Alta Plaza","Dhanmondi, Dhaka","Near Road 27","Clothing,Accessories","Neighborhood mall with good variety ","brands"
"Sheltech Sierra","Dhanmondi, Dhaka","Near Green Road","Electronics,General","Convenient for local residents ","brands"
"Police Plaza Concord","Gulshan, Dhaka","Near Hatirjheel","Fashion,Dinning","Modern architecture and secure shopping ","brands"
"Jabbar Tower","Gulshan 1, Dhaka","Gulshan 1 circle circle","Ladies Wear,Jewelry","Popular boutique destination [28, 30]","brands"
"Navana Tower","Gulshan 1, Dhaka","Gulshan circle","Lifestyle,Imports","High-end retail outlets ","brands"
"Khaja Tower","Gulshan, Dhaka","Near City","Telecom,Electronics","Specialized for modern gadgets ","brands"
"Plaza A.R.","Dhanmondi, Dhaka","Near Mirpur Road","Boutiques,Tailors","Traditional and modern clothing ","brands"
"Anam Rangs Plaza","Dhanmondi, Dhaka","Near Satmasjid Road","High-end Lifestyle","Exclusive and modern ","brands"
"KB Square","Dhanmondi, Dhaka","Near Road 15","Food,Retail","Popular with the younger crowd ","brands"
"Rupayan ZR Plaza","Dhanmondi, Dhaka","Satmasjid Road","Lifestyle,Boutiques","Modern and well organized ","brands"
"Nizam Shopping","Dhanmondi, Dhaka","Road 27","General Shopping","Local neighborhood center ","brands"
"Grand Plaza","Dhanmondi, Dhaka","Near City","General Shopping","Convenient retail ","brands"
"Mowchak Tower","Malibagh, Dhaka","Beside Mouchak Market","Gold Jewelry,Fashion","Extension of the traditional hub ","brands"
"Tropical Rajiha","Shantinagar, Dhaka","Near Circle","General Shopping","Local convenience ","brands"
"Century Arcade","Moghbazar, Dhaka","Near City","Electronics,Clothing","Diverse and affordable ","brands"
"Kornofulli Garden City","Shantinagar, Dhaka","Beside City Heart","Imports,Boutiques","High-traffic regional center ","brands"
"Mirpur Shopping Center","Mirpur 2, Dhaka","Near Stadium","Garments,Household","Primary mall for Mirpur residents ","brands"
"Farm View Super Market","Farmgate, Dhaka","Near Bus stand","Clothing,Daily Needs","Busiest transit-based market ","budget"
"Biponi Bitan","Chattogram","Near Station Road","Traditional Saree,Crafts","Historical market of the port city [31]","budget"
